name,rating,category,address,phone,email,website,timestamp
Hithadhoo Regional Hospital,3.5,Hospital,N/A,688-8672,N/A,https://blackkingdom.in/business/index.php?id=67,2026-03-18 02:58:39
Abuharee Pharmacy,4.5,Pharmacy,N/A,N/A,N/A,N/A,2026-03-18 02:57:43
ICM Pharmacy,3.8,Pharmacy,"Pharmacy · S.Hithadhoo, Dhuvaafaru Magu",688-3838,N/A,N/A,2026-03-18 02:57:43
STO Feydhoo Pharmacy,N/A,Pharmacy,"Pharmacy · 849P+FF5, Rahdhebai Magu",N/A,N/A,N/A,2026-03-18 02:57:43
STO Hulhumeedhoo Pharmacy,2.0,Pharmacy,N/A,N/A,N/A,N/A,2026-03-18 02:57:43
Mazi Chemist 9,3.8,Pharmacy,"Pharmacy · 849P+G87, Rahdhebai Magu",959-7480,N/A,N/A,2026-03-18 02:57:43
Life Support Pharmacy Hithadhoo,4.7,Pharmacy,"Pharmacy · Kiran, S, Aareyfe Magu",737-5873,N/A,http://www.lifesupport.mv/,2026-03-18 02:57:43
F&C Chemist 16,3.5,Pharmacy,"Pharmacy · C66G+RXM, Bahaaudheen Magu",689-5060,N/A,N/A,2026-03-18 02:57:43
Alfad Pharmacy,4.0,Pharmacy,N/A,N/A,N/A,N/A,2026-03-18 02:57:43
STO Pharmacy,2.0,Pharmacy,"Pharmacy · 84MC+W6Q, Mudhingey Magu",N/A,N/A,N/A,2026-03-18 02:57:43
CareMore Medicals,N/A,Medical clinic,N/A,987-7663,N/A,N/A,2026-03-18 02:56:52
maldives custom services,5.0,Government office,"Government office · 939X+RV2, Link Road",688-8680,N/A,N/A,2026-03-18 02:56:52
Reception,,Hospital department,"Hospital department ·  · 93HW+H9H, Maarendhoo Magu",N/A,N/A,N/A,2026-03-18 02:56:52
Live Garden,4.4,Family-friendly,Family-friendly ·  · Aareyfe Magu,946-7373,N/A,N/A,2026-03-18 02:56:52
Sky Inn ADDU,4.4,Guest house,N/A,989-4040,N/A,N/A,2026-03-18 02:56:52
F&C Chemist,4.3,Pharmacy,"Pharmacy · 84HG+55J, Chaandhanee Magu",689-1567,N/A,N/A,2026-03-18 02:56:52
